TransactionID,Category,TransactionAmount,cc_num,Timestamp,MerchantName,Location,CustomerID,CustomerName,gender,dob,job,Address,FraudIndicator
85526d98,entertainment,1123.39,180045020160955,2020-03-05 22:10:30,"Lee, Parker and Obrien","426 Palmer Crescent Apt. 846- West Rick, IN 92524",bb7eaf3d,David Guzman,F,1969-06-24,Mechanical engineer,"6837 Linda Stream- Port Brianville, WI 57292",0
70af2256,personal_care,3438.42,377882373323639,2019-11-25 17:39:10,Delgado PLC,"979 Toni Ways Suite 424- Aaronside, WI 77715",5355e5cb,Isaac Goodman,M,1975-07-27,Chartered public finance accountant,"0000 Wright Mount- Bobbyside, MS 81358",0
5209c9ca,gas_transport,3612.44,213147927127375,2019-04-26 19:57:14,Johnson-Moore,"551 Brown Summit- Scottport, NM 85176",f0eb36aa,Rhonda Neal,M,1954-10-30,Exhibition designer,"370 Rice Stravenue Suite 623- North Tristan, OK 25674",0
52938991,shopping_pos,2187.34,213131067549382,2019-07-02 20:27:43,"Friedman, Jordan and Hart","72324 Larson Isle- Bobbyview, GA 59590",6f167429,Sara Torres,F,1946-05-22,"Scientist, audiological","441 Kevin Isle- Michaelborough, MH 92901",0
1705df89,grocery_net,4413.94,4323349919474331,2020-02-01 01:50:32,Rivas Group,"357 Alexander Stravenue- South Kimberlyshire, WV 85593",86c56b89,Justin Peterson,M,1963-07-30,"Psychologist, forensic","542 Jensen Points Apt. 536- Jonesland, IL 77297",1
44cc5209,travel,4232.68,4237400107328192698,2019-08-15 21:58:11,Davidson LLC,"71999 Johnny Estate- Mendezton, MA 19357",056af22f,Michaela Dickerson,F,1967-10-15,"Surveyor, land/geomatics","2172 Andrew Cape Suite 275- Torresburgh, FM 26133",0
a5d0d0f1,home,1150.42,30287259217468,2019-11-28 15:31:26,Reed-Miller,"654 Leon Hills Apt. 562- Marshallborough, ME 89110",405fcd20,Brenda Ortiz,F,1971-05-11,Dealer,"66285 Christina Cliff Suite 301- West Williamberg, MD 19303",0
26ece541,personal_care,4687.99,4715982898917,2020-05-08 18:24:02,Thomas Ltd,"87802 Lang Village Apt. 308- Port Jennifermouth, KY 61562",782c310e,Stephen Allen,F,1959-04-27,Petroleum engineer,"21983 Howard Common- East Kelseyburgh, PR 58727",0
97891dc1,food_dining,2490.34,586842339341,2019-09-26 17:07:40,Brewer Group,"195 Rebecca Stream- New Tonyaview, MO 75337",9af08b90,Keith Jones,M,1974-01-27,"Psychologist, forensic","69046 Bennett Ranch Suite 445- West Meghan, LA 08460",0
f126f18e,grocery_pos,1864.87,4572723957831107,2019-10-11 22:54:46,Brady-Alexander,"7079 Richard Corners- East Michael, MP 29563",9781ddcf,Christina Hendricks,F,1943-08-05,Chartered public finance accountant,"3601 Jones Path Apt. 476- Ronaldton, NH 25222",1
b3e4998e,shopping_net,890.78,4295464389743895250,2019-06-25 03:47:34,Adams Group,"220 John Island- Sanchezville, AZ 89531",f0965c57,Rita Hart,M,1990-03-27,"Radiographer, diagnostic","17499 Ronald Coves Apt. 328- Howardstad, VI 21529",0
9daded62,travel,3845.86,2286839172999189,2019-06-02 14:54:44,Proctor PLC,"652 Vance Flats- Kevinfurt, IA 24272",a1c63607,Michelle Russell,M,1992-11-07,Television production assistant,"91057 Jonathan Street- North Matthewfurt, MI 82078",0
1ed84bbd,home,2270.66,4664083053685,2019-03-27 10:35:39,Smith-Lee,"5278 Amanda Pike Suite 741- Christopherchester, ND 55679",e9e32c6b,Tonya Mckinney,M,1981-08-25,Mining engineer,"38077 Denise Green- Elizabethport, MI 79861",0
4f9db130,grocery_pos,1472.84,4859481557489347,2020-03-16 13:07:25,Ruiz-Sanchez,"044 Anthony Plain Apt. 098- Melendezborough, LA 91786",c3e17cea,Gregory Little,M,1939-05-22,Financial trader,"179 Veronica Garden- North Michelle, TN 37645",1
9c39c3b9,misc_pos,3699.54,2715539468565824,2019-01-13 09:45:44,Lewis Ltd,"314 Stacy Stream Suite 907- Blakebury, IL 21765",1a110cf6,Roy Clark,M,2005-07-29,Film/video editor,"052 Richard Summit Suite 423- Schwartzbury, LA 97915",0
344e6b11,health_fitness,1939.61,213166814406767,2019-03-21 05:29:44,Robinson Inc,"PSC 1169, Box 6998- APO AA 63327",b5fd471a,Stanley Garcia,M,1975-02-01,"Radiographer, diagnostic","72446 Wolf Extensions Suite 723- Elizabethton, AS 03820",0
258afd20,home,317.65,38543584084482,2019-04-15 23:44:06,"Brown, Poole and Herrera","69690 Pierce Ways Suite 122- Lake Danielburgh, ID 84731",025167fd,Danielle Martin,F,1992-09-17,Podiatrist,"79838 Smith Stream Apt. 371- Vincentton, AK 11884",0
ff8797b5,shopping_pos,3674.34,4040502072780561,2019-08-12 03:43:11,"Daniel, Carrillo and Wilson","815 Mary Plaza Suite 582- Harrisland, IN 14785",f6f88819,Justin Spears,F,1944-02-05,Sub,"4307 Johnson Parks Apt. 944- Emilyburgh, WY 38780",0
